search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
scabiosasabiosa,1,0,1,1,0,0
"hydrangeas ",4,7,1,0.14285714285714285,0,5
whitelily,1,0,1,1,0,0
gebera,1,0,1,1,0,1
gerbs,1,0,1,1,0,1
bueplerum,1,0,1,1,0,1
"ranunculus elegance pastello (salmon, peach)",1,0,1,1,0,1
redbud,1,0,1,1,0,1
lace,2,3,1,0.25,0,4
billyballs,1,0,1,1,0,1
"roses easter assorted (25 peach, yellow, white, pink)",1,0,1,1,1,0
italian ruscus,29,38,1,0.02702702702702703,0,28
combo rose,1,2,1,0.3333333333333333,0,2
roses high & exotic,1,0,1,1,1,0
campenella,1,0,1,1,0,1
cotius,1,0,1,1,0,1
campunela,1,0,1,1,0,1
bunches,1,0,1,1,0,0
syringa,1,0,1,1,0,1
roses butterscotch,1,0,1,1,0,1
hydragena,1,0,1,1,0,1
camila,1,0,1,1,0,1
anthos,1,0,1,1,0,1
garden roses romantic antike,3,3,1,0.25,4,0
ranunculus winterwood strawberry,1,1,1,0.5,2,0
jasmjne,1,0,1,1,0,0
uecalyptus,1,0,1,1,0,1
anthiriumm,1,1,1,0.5,0,2
peonis,1,0,1,1,0,1
soldagio,1,0,1,1,0,1
misti,1,0,1,1,0,0
mustard,2,2,1,0.3333333333333333,0,2
cyrtomium,1,0,1,1,0,1
chrysanthemum disbuds/ mums bombon (ball) lollipop pink,1,0,1,1,1,0
juliett,1,0,1,1,0,1
phalo,1,0,1,1,0,1
carnanations,1,0,1,1,0,1
garden roses pure blonde,1,0,1,1,1,0
burgunfu,1,0,1,1,0,1
crocus,1,0,1,1,0,0
damagro,1,0,1,1,0,1
aramis,1,0,1,1,0,1
orchif,1,0,1,1,0,1
babys breath garland,2,1,1,0.5,0,2
fevwrfew,1,0,1,1,0,0
coral spray roses,1,0,1,1,0,0
psatel,1,0,1,1,0,0
foliage assort,1,0,1,1,0,1
mansfildpark,1,1,1,0.5,0,2
roses ohara light pink and peach,1,0,1,1,0,1
staice,1,0,1,1,0,1
mondials,1,0,1,1,0,1
gladiolus large flowered red,2,1,1,0.5,1,1
snapdragon,22,41,1,0.030303030303030304,0,27
susan,1,0,1,1,0,1
387836fd16f648589f3238814141d0f5,1,0,1,1,1,0
bacarra,1,0,1,1,0,1
tweeia,1,0,1,1,0,1
garlands ruscus israeli fresh,1,0,1,1,0,1
hydrangesas,1,0,1,1,0,1
amaranthus hang red spider,1,0,1,1,0,1
anemonies,1,0,1,1,0,1
hack,1,0,1,1,0,0
creamcarnation,1,0,1,1,0,1
runnunculus,1,0,1,1,0,1
chile,1,0,1,1,0,1
larkspir,1,0,1,1,0,0
gargen,1,0,1,1,0,1
anenomies,1,0,1,1,1,0
gebra,1,0,1,1,1,0
ecualyptus,1,0,1,1,0,1
mokara,2,5,1,0.25,0,2
roses hot pink free,1,0,1,1,1,0
